
List of user-set options:

                                    Name   Value                used
                           linear_solver = mumps                 yes
                  ma57_automatic_scaling = yes                    no
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = GPOPS_MarkIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-07                 yes
This is Ipopt version 3.11.0, running with linear solver mumps.

Number of nonzeros in equality constraint Jacobian...:     2245
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:      979

Total number of variables............................:      433
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      433
                     variables with only upper bounds:        0
Total number of equality constraints.................:      321
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.0000000e+00 2.32e+02 9.98e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  4.9999010e-02 2.18e+02 2.25e+02   0.4 2.27e+00   2.0 9.90e-01 6.08e-02f  1
   2  2.5796988e+01 1.81e+02 1.02e+04   2.0 2.12e+00   3.3 1.81e-01 1.77e-01f  1
   3  2.5814213e+01 1.81e+02 1.20e+05   2.7 1.07e+00   4.7 8.51e-01 3.55e-03h  1
   4  2.6774199e+01 1.55e+02 1.61e+06   3.3 2.00e+00   5.1 1.00e+00 1.49e-01f  1
   5  3.5487989e+01 1.20e+02 1.87e+06   4.7 1.39e+00   5.5 4.87e-01 2.50e-01f  1
   6  3.7084394e+01 9.76e+01 8.37e+06   4.7 2.40e+00   5.9 4.96e-01 2.14e-01h  1
   7  3.9703602e+01 7.72e+01 9.74e+06   4.7 1.81e+00   5.5 2.48e-01 2.39e-01h  1
   8  4.0816609e+01 5.79e+01 1.61e+07   4.7 8.47e-01   6.8 5.68e-02 2.75e-01f  1
   9  4.3269097e+01 2.91e+01 9.62e+07   4.7 5.08e-01   7.2 2.34e-01 5.94e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.5365349e+01 1.75e+01 6.27e+07   4.7 4.66e-01   7.6 9.99e-01 4.62e-01h  1
  11  5.3646663e+01 5.14e+00 7.93e+07   4.5 2.65e-01   7.2 1.00e+00 9.62e-01h  1
  12  5.8406753e+01 2.58e+00 3.20e+07   3.8 1.75e-01   7.6 1.00e+00 6.07e-01h  1
  13  5.8877265e+01 2.50e+00 3.08e+07  -2.2 1.43e+00   7.1 1.30e-02 3.31e-02h  1
  14  5.9922865e+01 2.16e+00 2.44e+07   3.4 1.25e-01   8.4 1.83e-01 1.42e-01h  1
  15  6.9795052e+01 5.34e-01 3.44e+07   4.0 9.87e-02   8.0 8.49e-01 1.00e+00h  1
  16  7.1564081e+01 3.94e-01 2.50e+07   4.1 6.56e-02   8.4 1.00e+00 2.70e-01h  1
  17  7.8570307e+01 2.57e-02 5.73e+06   3.7 7.01e-02   7.9 1.00e+00 1.00e+00h  1
